z,wave,ground,cumulWave
365.76438679853766,0.0001774036,0.00010551558,6.805531e-05
365.6142400155562,0.000112512455,6.7634915e-05,4.1444764e-05
365.4640932325748,6.914438e-05,4.1766667e-05,2.4567893e-05
365.31394644959335,4.1631945e-05,2.5430147e-05,1.4196235e-05
365.1637996666119,2.4408717e-05,1.50242895e-05,7.951441e-06
365.01365288363047,1.3778273e-05,8.661479e-06,4.290133e-06
364.86350610064903,7.626343e-06,4.8847055e-06,2.2233917e-06
364.7133593176676,3.9426363e-06,2.5889951e-06,1.07944e-06
364.5632125346861,1.954087e-06,1.3296332e-06,4.880445e-07
364.41306575170466,8.464341e-07,6.265132e-07,1.9493142e-07
364.2629189687232,3.1892162e-07,2.5113766e-07,6.7966276e-08
364.1127721857418,1.0742185e-07,9.9736376e-08,2.0128029e-08
363.96262540276035,2.2914445e-08,2.2914445e-08,4.0147494e-09
363.8124786197789,3.850547e-09,3.850547e-09,5.7758215e-10
363.6623318367975,0.0,0.0,0.0
363.51218505381604,0.0,0.0,0.0
363.3620382708346,0.0,0.0,0.0
363.21189148785317,0.0,0.0,0.0
363.0617447048717,0.0,0.0,0.0
362.9115979218903,0.0,0.0,0.0
362.76145113890885,0.0,0.0,0.0
362.6113043559274,0.0,0.0,0.0
362.461157572946,0.0,0.0,0.0
362.31101078996454,0.0,0.0,0.0
362.1608640069831,0.0,0.0,0.0
362.01071722400167,0.0,0.0,0.0
361.86057044102023,0.0,0.0,0.0
361.7104236580388,0.0,0.0,0.0
361.56027687505735,0.0,0.0,0.0
361.4101300920759,0.0,0.0,0.0
361.2599833090944,0.0,0.0,0.0
361.109836526113,0.0,0.0,0.0
360.95968974313155,0.0,0.0,0.0
360.8095429601501,0.0,0.0,0.0
360.6593961771687,0.0,0.0,0.0
360.50924939418724,0.0,0.0,0.0
360.3591026112058,0.0,0.0,0.0
360.20895582822436,0.0,0.0,0.0
360.0588090452429,0.0,0.0,0.0
359.9086622622615,0.0,0.0,0.0
359.75851547928005,0.0,0.0,0.0
359.6083686962986,0.0,0.0,0.0
359.4582219133172,0.0,0.0,0.0
359.30807513033574,0.0,0.0,0.0
359.1579283473543,0.0,0.0,0.0
359.00778156437286,0.0,0.0,0.0
358.8576347813914,0.0,0.0,0.0
358.70748799841,0.0,0.0,0.0
358.55734121542855,0.0,0.0,0.0
358.4071944324471,0.0,0.0,0.0
358.2570476494657,0.0,0.0,0.0
358.10690086648424,0.0,0.0,0.0
357.9567540835028,0.0,0.0,0.0
357.80660730052136,0.0,0.0,0.0
357.6564605175399,0.0,0.0,0.0
357.5063137345585,0.0,0.0,0.0
357.35616695157705,0.0,0.0,0.0
357.2060201685956,0.0,0.0,0.0
357.0558733856142,0.0,0.0,0.0
356.9057266026327,0.0,0.0,0.0
356.75557981965125,0.0,0.0,0.0
356.6054330366698,0.0,0.0,0.0
356.45528625368837,0.0,0.0,0.0
356.30513947070693,0.0,0.0,0.0
356.1549926877255,0.0,0.0,0.0
356.00484590474406,0.0,0.0,0.0
355.8546991217626,0.0,0.0,0.0
355.7045523387812,0.0,0.0,0.0
355.55440555579975,0.0,0.0,0.0
355.4042587728183,0.0,0.0,0.0
